[TRACE] [ScreenUtil] [get_screen_rect] [62] [:] [Screen count: 2] 
[TRACE] [AddFileDialog] [init] [41] [:] [Window rect: Rect: (520, 400, 400, 100)] 
[TRACE] [server] [init] [34] [:] [Server socket create success] 
[INFO] [ServerApp] [show_main_window] [92] [:] [Show main window] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [TransContext] [on_recv] [42] [:] [Received request: protocol=UrlProtocol::Danejoe | host= | port=464 | path=/test | query=[]] 
[TRACE] [TransContext] [on_recv] [55] [:] [Received test request] 
[TRACE] [TransContext] [handle_test_request] [131] [:] [Received test request: 123333] 
[DEBUG] [MessageHandler] [build_test_response] [75] [:] [Info body size: 71] 
[TRACE] [MessageHandler] [build_test_response] [80] [:] [Key: message, Value: name_length=7 | name=message | type=DataType::String | flag=SerializeFieldFlag::HasValueLength | value_length=6 | value_size=6] 
[TRACE] [MessageHandler] [build_test_response] [80] [:] [Key: response_type, Value: name_length=13 | name=response_type | type=DataType::String | flag=SerializeFieldFlag::HasValueLength | value_length=13 | value_size=13] 
[DEBUG] [MessageHandler] [build_response] [17] [:] [Building response with status: 200 OK, content_type: danejoe, body size: 71] 
[DEBUG] [Server::MessageHandler] [build_response] [28] [:] [Header: magic_number=1717986918 | version=1 | message_length=55 | flag=SerializeFlag::None | checksum=0 | field_count=2] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
[TRACE] [network] [run] [176] [:] [Loop is running!] 
